year,title,category,nominee,artist,nominated,decade
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,Only Jesus,"Casting Crowns; Mark Hall, Bernie Herms & Matthew West",True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,Haven't Seen It Yet,"Danny Gokey; Danny Gokey, Ethan Hulse & Colby Wedgeworth",True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,God's Not Done With You (Single Version),Tauren Wells,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Performance/Song,Rescue Story,"Zach Williams; Ethan Hulse, Andrew Ripp, Jonathan Smith & Zach Williams",True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Album,Long Live Love,Kirk Franklin,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Album,Goshen,Donald Lawrence Presents The Tri -City Singers,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Album,Tunnel Vision,Gene Moore,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Album,Settle Here,William Murphy,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Gospel Album,Something's Happening! A Christmas Album,CeCe Winans,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,Burn The Ships,for KING & COUNTRY,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,I Know A Ghost,Crowder,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,Haven't Seen It Yet,Danny Gokey,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,The Elements,TobyMac,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Christian Music Album,Holy Roar,Chris Tomlin,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Roots Gospel Album,Testimony,Gloria Gaynor,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Roots Gospel Album,Deeper Roots: Where The Bluegrass Grows,Steven Curtis Chapman,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Roots Gospel Album,Deeper Oceans,Joseph Habedank,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Roots Gospel Album,His Name Is Jesus,Tim Menzies,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Roots Gospel Album,"Gonna Sing, Gonna Shout",Various Artists,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Pop Album,#Eldisco,Alejandro Sanz,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Pop Album,Vida,Luis Fonsi,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Pop Album,11:11,Maluma,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Pop Album,Montaner,Ricardo Montaner,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Latin Pop Album,Fantasia,Sebastian Yatra,True,2010
2019,62nd Annual GRAMMY Awards  (2019),"Best Latin Rock, Urban or Alternative Album",El Mal Querer,ROSALÍA,True,2010
2019,62nd Annual GRAMMY Awards  (2019),"Best Latin Rock, Urban or Alternative Album",X 100Pre,Bad Bunny,True,2010
2019,62nd Annual GRAMMY Awards  (2019),"Best Latin Rock, Urban or Alternative Album",Oasis,J Balvin & Bad Bunny,True,2010
2019,62nd Annual GRAMMY Awards  (2019),"Best Latin Rock, Urban or Alternative Album",Indestructible,Flor De Toloache,True,2010
2019,62nd Annual GRAMMY Awards  (2019),"Best Latin Rock, Urban or Alternative Album",Almadura,iLe,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),De Ayer Para Siempre,Mariachi Los Camperos,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),Caminando,Joss Favela,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),Percepción,Intocable,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),Poco A Poco,La Energia Norteña,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Regional Mexican Music Album (Including Tejano),20 Aniversario,Mariachi Divas De Cindy Shea,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Tropical Latin Album,Opus,Marc Anthony,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Tropical Latin Album,A Journey Through Cuban Music,Aymée Nuviola,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Tropical Latin Album,Tiempo Al Tiempo,Luis Enrique + C4 Trio,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Tropical Latin Album,Candela,Vicente García,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Tropical Latin Album,Literal,Juan Luis Guerra 4.40,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,Saint Honesty,Sara Bareilles,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,Father Mountain,Calexico And Iron & Wine,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,I'm On My Way,Rhiannon Giddens with Francesco Turrisi,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best American Roots Performance,Call My Name,I'm With Her,True,2010
